5350520.10 (Census tract) GNR=25.7,,,,,,,,,,
Topic,,Characteristics,,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
77,,'No postsecondary certificate diploma or degree' includes persons who have not completed a registered apprenticeship certificate (including Certificate of Qualification Journeyperson's designation) or other trades certificate or diploma a college CEGEP or other non-university certificate or diploma or a university certificate diploma or degree.,,,,,,,,
78,,Called 'Health parks recreation and fitness' in CIP Canada 2000.,,,,,,,,
79,,Includes 'Multidisciplinary/interdisciplinary studies other.',,,,,,,,
80,,'Location of study compared with province or territory of residence' indicates whether the 'Location of study' is the same as the province or territory of residence in 2011 a different Canadian province or territory or outside Canada. 'Location of study' refers to the province territory or country of the institution where the highest certificate diploma or degree above the high school level was completed. Users should be aware that some respondents may have reported the physical location of study rather than the location of the certificate diploma or degree-granting institution. This could affect the responses of those who obtained a certificate diploma or degree through a joint program or by distance learning with credentials granted in another province or country. In particular a number of persons reported a location of study for a university credential in one of the territories (Yukon Northwest Territories Nunavut) even though there were no educational institutions in the territories with the authority to grant university degrees.  For any other comments on collection dissemination or data quality for this variable or 'Location of study' refer to the Education Reference Guide National Household Survey Catalogue no. 99-012-X2011006.,,,,,,,,
81,,Population by language used most often at work . Refers to the language used most often at work as reported on May 10 2011 by the individuals aged 15 years and over who worked since January 1 2010.,,,,,,,,
82,,Cree languages include the following categories: Cree not otherwise specified (which refers to those who reported 'Cree') Swampy Cree Plains Cree Woods Cree and a category labelled 'Cree not included elsewhere' (which includes Moose Cree Northern East Cree and Southern East Cree).,,,,,,,,
83,,Refers to whether a person was employed unemployed or not in the labour force during the week of Sunday May 1 to Saturday May 7 2011.  In the past this variable was called Labour force activity.,,,,,,,,
84,,Refers to whether an employed person is an employee or is self-employed. The self-employed include persons with or without a business as well as unpaid family workers. ,,,,,,,,
85,,Includes unemployed persons aged 15 years and over who have never worked for pay or in self-employment or who had last worked prior to January 1 2010 only.,,,,,,,,
86,,Experienced labour force refers to persons who during the week of Sunday May 1 to Saturday May 7 2011 were employed and the unemployed who had last worked for pay or in self-employment in either 2010 or 2011.,,,,,,,,
87,,Includes self-employed with an incorporated business and self-employed with an unincorporated business. Also included among the self-employed are unpaid family workers.,,,,,,,,
88,,Refers to the kind of work performed by persons during the week of Sunday May 1 to Saturday May 7 2011 as determined by their kind of work and the description of the main activities in their job. The 2011 National Household Survey occupation data are produced according to the NOC 2011. ,,,,,,,,
89,,Unemployed persons aged 15 years and over who have never worked for pay or in self-employment or who had last worked prior to January 1 2010 only.,,,,,,,,
90,,Refers to the general nature of the business carried out in the establishment where the person worked. The 2011 National Household Survey industry data are produced according to the NAICS 2007.,,,,,,,,
91,,Refers to the number of weeks in which a person worked for pay or in self-employment in 2010 at all jobs held even if only for a few hours and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week).,,,,,,,,
92,,Includes persons who never worked persons who worked prior to 2010 only or persons who worked in 2011 only.,,,,,,,,
93,,Refers to persons who worked for pay or in self-employment in 2010. These persons were asked to report whether the weeks they worked in 2010 were full-time weeks (30 hours or more per week) or not on the basis of all jobs held. Persons with a part-time job for part of the year and a full-time job for another part of the year were to report the information for the job at which they worked the most weeks.,,,,,,,,
94,,Classification of respondents according to whether they worked at home worked outside Canada had no fixed workplace address or worked at a specific address (usual place of work).,,,,,,,,
95,,Refers to the main mode of transportation a respondent uses to travel between his or her home and his or her place of work.,,,,,,,,
96,,Refers to how many minutes it took for a person to travel from home to work. Median commuting duration is the value which divides the commuting duration into two equal halves i.e. the commuting duration of individuals for the first half is below the median while the commuting distance of individuals for the second half is above the median.,,,,,,,,
97,,Time at which a respondent usually leaves home to go to work.,,,,,,,,
98,,Condition of dwelling - Refers to whether the dwelling is in need of repairs. This does not include desirable remodelling or additions.,,,,,,,,
99,,Period of construction - Refers to the period in time during which the building or dwelling was originally constructed.,,,,,,,,
100,,Includes data up to May 10 2011.,,,,,,,,
101,,Rooms - Refers to enclosed areas within a private dwelling which are finished and suitable for year round living. The number of rooms of a private dwelling includes kitchens bedrooms and finished rooms in the attic or basement. The number of rooms of a private dwelling excludes bathrooms halls vestibules and rooms used solely for business purposes. Partially divided rooms are considered to be separate rooms if they are considered as such by the respondent (e.g. L-shaped dining room and living room arrangements).,,,,,,,,
102,,Bedrooms - Refers to rooms in a private dwelling that are designed mainly for sleeping purposes even if they are now used for other purposes such as guest rooms and television rooms. Also included are rooms used as bedrooms now even if they were not originally built as bedrooms such as bedrooms in a finished basement. Bedrooms exclude rooms designed for another use during the day such as dining rooms and living rooms even if they may be used for sleeping purposes at night. By definition one-room private dwellings such as studio apartments have zero bedrooms.,,,,,,,,
103,,Tenure - Refers to whether the household owns or rents their private dwelling or whether the dwelling is band housing (on an Indian reserve or settlement).,,,,,,,,
104,,Condominium status - Refers to whether the private dwelling is part of a condominium development. A condominium is a residential complex in which dwellings are owned individually while land and common elements are held in joint ownership with others.,,,,,,,,
105,,Household maintainer - Refers to whether or not a person residing in the household is responsible for paying the rent or the mortgage or the taxes or the electricity or other services or utilities. Where a number of people may contribute to the payments more than one person in the household may be identified as a household maintainer. If no person in the household is identified as making such payments the reference person is identified by default.,,,,,,,,
106,,Primary household maintainer - First person in the household identified as someone who pays the rent or the mortgage or the taxes or the electricity bill and so on for the dwelling. The order of the persons in a household is determined by the order in which the respondent lists the persons on the questionnaire. Generally an adult is listed first followed if applicable by that person's spouse or common-law partner and by their children. The order does not necessarily correspond to the proportion of household payments made by the person. Age - Refers to the age at last birthday before the reference date that is before May 10 2011.,,,,,,,,
107,,Persons per room - Refers to an indicator of the level of crowding in a private dwelling. It is calculated by dividing the number of persons in the household by the number of rooms in the dwelling.,,,,,,,,
108,,Housing suitability - Housing suitability refers to whether a private household is living in suitable accommodations according to the National Occupancy Standard (NOS); that is whether the dwelling has enough bedrooms for the size and composition of the household. A household is deemed to be living in suitable accommodations if its dwelling has enough bedrooms as calculated using the National Occupancy Standard. Housing suitability assesses the required number of bedrooms for a household based on the age sex and relationships among household members. An alternative variable the number of persons per room considers all rooms in a private dwelling and the number of household members. Housing suitability and the National Occupancy Standard (NOS) on which it is based were developed by Canada Mortgage and Housing Corporation (CMHC) through consultations with provincial housing agencies.,,,,,,,,
109,,Shelter-cost-to-income ratio - Percentage of a household's average total monthly income which is spent on shelter-related expenses. Those expenses include the monthly rent (for tenants) or the mortgage payment property taxes and condominium fees (for owners) and the costs of electricity heat municipal services etc. The percentage is calculated by dividing the total shelter-related expenses by the household's total monthly income and multiplying the result by 100. Includes owner and tenant households in non-farm non-reserve private dwellings with household total income greater than zero in 2010 (i.e. excludes negative or zero household total income). The relatively high shelter costs to household income ratios for some households may have resulted from the difference in the reference period for shelter costs and household total income data. The reference period for shelter cost data is 2011 while household total income is reported for the year 2010. As well for some households the 2010 household total income may represent income for only part of a year. Household total income - The total income of a household is the sum of the total incomes of all members of that household. Total income refers to the total of income from all sources including employment income income from government programs pension income investment income and any other money income before income taxes and deductions during the calendar year 2010.,,,,,,,,
110,,Presence of mortgage - Refers to whether the owner households reported mortgage or loan payments for their dwelling.,,,,,,,,
111,,Shelter-cost-to-income ratio for owner households - Percentage of an owner household's average total monthly income which is spent on shelter-related expenses. Those expenses include the mortgage payment property taxes and condominium fees and the costs of electricity heat municipal services etc. The percentage is calculated by dividing the total shelter-related expenses by the household's total monthly income and multiplying the result by 100. Includes owner households in non-farm non-reserve private dwellings with household total income greater than zero in 2010 (i.e. excludes negative or zero household total income). The relatively high shelter costs to household income ratios for some households may have resulted from the difference in the reference period for shelter costs and household total income data. The reference period for shelter cost data is 2011 while household total income is reported for the year 2010. As well for some households the 2010 household total income may represent income for only part of a year. Household total income - The total income of a household is the sum of the total incomes of all members of that household. Total income refers to the total of income from all sources including employment income income from government programs pension income investment income and any other money income before income taxes and deductions during the calendar year 2010.,,,,,,,,
112,,Shelter cost for owned dwellings - Includes all shelter expenses paid by households that own their dwellings such as the mortgage payment and the costs of electricity heat water and other municipal services property taxes and condominium fees.,,,,,,,,
113,,Value of dwelling - Refers to the dollar amount expected by the owner if the dwelling were to be sold.,,,,,,,,
114,,Subsidized housing - Refers to whether the dwelling is subsidized. Subsidized housing includes rent geared to income social housing public housing government-assisted housing non-profit housing rent supplements and housing allowances.,,,,,,,,
115,,Shelter-cost-to-income ratio for tenant households - Percentage of a tenant household's average total monthly income which is spent on shelter-related expenses. Those expenses include the monthly rent and the costs of electricity heat municipal services etc. The percentage is calculated by dividing the total shelter-related expenses by the household's total monthly income and multiplying the result by 100. Includes tenant households in non-farm non-reserve private dwellings with household total income greater than zero in 2010 (i.e. excludes negative or zero household total income). The relatively high shelter costs to household income ratios for some households may have resulted from the difference in the reference period for shelter costs and household total income data. The reference period for shelter cost data is 2011 while household total income is reported for the year 2010. As well for some households the 2010 household total income may represent income for only part of a year. Household total income - The total income of a household is the sum of the total incomes of all members of that household. Total income refers to the total of income from all sources including employment income income from government programs pension income investment income and any other money income before income taxes and deductions during the calendar year 2010.,,,,,,,,
116,,Shelter costs for rented dwellings - Includes all shelter expenses paid by households that rent their dwellings such as the monthly rent and the costs of electricity heat and municipal services.,,,,,,,,
117,,Total income - Total income refers to monetary receipts from certain sources before income taxes and deductions during calendar year 2010. It includes employment income from wages salaries tips commissions and net income from self-employment (for both unincorporated farm and non-farm activities); income from government sources such as social assistance child benefits employment insurance old age security pension Canada or Quebec pension plan benefits and disability income; income from employer and personal pension sources such as private pensions and payments from annuities and RRIFs; income from investment sources such as dividends and interest on bonds accounts GICs and mutual funds; and other regular cash income such as child support payments received spousal support payments (alimony) received and scholarships. The monetary receipts included are those that tend to be of a regular and recurring nature. It excludes one-time receipts such as lottery winnings gambling winnings cash inheritances lump sum insurance settlements capital gains and RRSP withdrawals. Capital gains are excluded because they are not by their nature regular and recurring. It is further assumed that they are less likely to be fully spent in the period in which they are received unlike income that is regular and recurring. Also excluded are employer's contributions to registered pension plans Canada and Quebec pension plans and employment insurance. Finally voluntary inter-household transfers imputed rent goods and services produced for barter and goods produced for own consumption are excluded from this total income definition. Median income of individuals - The median income of a specified group of income recipients is that amount which divides their income size distribution into two halves i.e. the incomes of the first half of individuals are below the median while those of the second half are above the median. Median income is calculated from the individuals with income in that group (e.g. males aged 45 to 54 years). Average income of individuals - Average income of individuals refers to the weighted mean total income of individuals aged 15 years and over who reported income for 2010. Average income is calculated from unrounded data by dividing the aggregate income of a specified group of individuals (e.g. males aged 45 to 54 years) by the number of individuals with income in that group. Median and average of individuals will be calculated for those individuals who are at least aged 15 years and who have an income (positive or negative). Age - Refers to the age at last birthday before the reference date that is before May 10 2011.,,,,,,,,
118,,Including loss.,,,,,,,,
119,,For population with income.,,,,,,,,
120,,After-tax income - Refers to total income from all sources minus federal provincial and territorial income taxes paid for 2010. Median income of individuals - The median income of a specified group of income recipients is that amount which divides their income size distribution into two halves i.e. the incomes of the first half of individuals are below the median while those of the second half are above the median. Median income is calculated from the individuals with income in that group (e.g. males aged 45 to 54 years). Average income of individuals - Average income of individuals refers to the weighted mean total income of individuals aged 15 years and over who reported income for 2010. Average income is calculated from unrounded data by dividing the aggregate income of a specified group of individuals (e.g. males aged 45 to 54 years) by the number of individuals with income in that group. Median and average of individuals will be calculated for those individuals who are at least aged 15 years and who have an income (positive or negative). Age - Refers to the age at last birthday before the reference date that is before May 10 2011.,,,,,,,,
121,,Including loss.,,,,,,,,
122,,For population with after-tax income.,,,,,,,,
123,,Composition of income - The composition of the total income of a population group or a geographic area refers to the relative share of each income source or group of sources expressed as a percentage of the aggregate total income of that group or area. Total income - Total of income from all sources including employment income income from government programs pension income investment income and any other money income. Age - Refers to the age at last birthday before the reference date that is before May 10 2011.,,,,,,,,
124,,Market income - Refers to the sum of employment income (wages and salaries net farm income and net income from non-farm unincorporated business and/or professional practice) investment income retirement pensions superannuation and annuities (including those from RRSPs and RRIFs) and other money income. It is equivalent to total income before tax minus all government transfers and is also referred to as income before transfers and taxes.,,,,,,,,
125,,Earnings or employment income - Total wages and salaries and net income from self-employment.,,,,,,,,
126,,Wages and salaries - Refers to gross wages and salaries before deductions for such items as income tax pensions and Employment Insurance. Included in this source are military pay and allowances tips commissions and cash bonuses benefits from wage-loss replacement plans or income-maintenance insurance plans supplementary unemployment benefits from an employer or union as well as all types of casual earnings during calendar year 2010. Other employment income such as taxable benefits research grants and royalties are included.,,,,,,,,
127,,Self-employment net income - Refers to the total amount received by persons aged 15 years and over during calendar year 2010 as net farm income from self-employment or net non-farm income from unincorporated business and/or professional practice. Net farm income - Refers to net income (gross receipts from farm sales minus depreciation and cost of operation) received during calendar year 2010 from the operation of a farm either on the respondent's own account or in partnership. In the case of partnerships only the respondent's share of income was reported. Included with gross receipts are cash advances received in 2010 dividends from cooperatives rebates and farm-support payments to farmers from federal provincial and regional agricultural programs (for example milk subsidies and marketing board payments) and gross insurance proceeds such as payments from the AgriInvest and AgriStability programs. The value of income 'in kind' such as agricultural products produced and consumed on the farm is excluded. Net non-farm income from unincorporated business and/or professional practice - Refers to net income (gross receipts minus expenses of operation such as wages rents and depreciation) received during calendar year 2010 from the respondent's non-farm unincorporated business or professional practice. In the case of partnerships only the respondent's share was reported. Also included is net income from persons babysitting in their own homes persons providing room and board to non-relatives self-employed fishers hunters and trappers operators of direct distributorships such as those selling and delivering cosmetics as well as freelance activities of artists writers music teachers hairdressers dressmakers etc.,,,,,,,,
128,,Investment income - Refers to interest received during calendar year 2010 from deposits in banks trust companies cooperatives credit unions caisses populaires etc. as well as interest on savings certificates bonds and debentures and all dividends from both Canadian and foreign corporate stocks and mutual funds. Also included is other investment income from either Canadian or foreign sources such as net rents from real estate mortgage and loan interest received regular income from an estate or trust fund and interest from insurance policies. Does not include capital gains or losses.,,,,,,,,
129,,Retirement pensions - Refers to all regular income received by the respondent during calendar year 2010 as the result of having been a member of a pension plan of one or more employers. It includes payments received from all annuities including payments from a Registered Retirement Income Fund (RRIF) a matured Registered Retirement Savings Plan (RRSP) in the form of a life annuity a fixed-term annuity or an income-averaging annuity contract; pensions paid to widow(er)s or other relatives of deceased pensioners; pensions of retired civil servants Armed Forces personnel and Royal Canadian Mounted Police (RCMP) officers; annuity payments received from the Canadian Government Annuities Fund an insurance company etc. Does not include lump-sum death benefits lump-sum benefits or withdrawals from a pension plan or RRSP or refunds of over-contributions.,,,,,,,,
130,,Other money income - Refers to regular cash income received during calendar year 2010 and not reported in any of the other sources listed on the questionnaire. For example severance pay and retirement allowances alimony child support periodic support from other persons not in the household income from abroad (excluding dividends and interest) non refundable scholarships bursaries fellowships and study grants and artists' project grants are included.,,,,,,,,
131,,Government transfer payments - Refers to all cash benefits received from federal provincial territorial or municipal governments during 2010. This variable is derived by summing the amounts reported in: the Old Age Security pension and Guaranteed Income Supplement Allowance and Allowance for the Survivor; benefits from Canada Pension Plan or Quebec Pension Plan; benefits from Employment Insurance; child benefits; other income from government sources.,,,,,,,,
132,,Benefits from Canada or Quebec pension plan - Refers to benefits received during calendar year 2010 from the Canada or Quebec Pension Plan (For example retirement pensions survivors' benefits and disability pensions). Does not include lump-sum death benefits.,,,,,,,,
133,,Old Age Security pensions and Guaranteed Income Supplement - Refers to Old Age Security pensions and Guaranteed Income Supplements paid to persons aged 65 years and over and to the Allowance or Allowance for the survivor paid to 60- to 64-year-old spouses of old age security recipients or widow(er)s by the federal government during the calendar year 2010.,,,,,,,,
134,,Benefits from employment insurance - Refers to total Employment Insurance benefits received during calendar year 2010 before income tax deductions. It includes benefits for unemployment sickness maternity paternity adoption work sharing retraining and benefits to self-employed fishers received under the federal Employment Insurance Program or the Quebec Parental Insurance Program.,,,,,,,,
135,,Child benefits - Refers to payments received under the Canada Child Tax Benefit program during calendar year 2010 by parents with dependent children under 18 years of age. Included with the Canada Child Tax Benefit is the National Child Benefit Supplement (NCBS) for low-income families with children. The NCBS is the federal contribution to the National Child Benefit (NCB) a joint initiative of federal provincial and territorial governments. Also included in this variable are child benefits child disability benefits and earned income supplements provided by certain provinces and territories and the Universal Child Care Benefit (UCCB).,,,,,,,,
136,,Other income from government sources - Refers to all transfer payments excluding those covered as a separate income source (Canada Pension Plan or Quebec Pension Plan benefits Old Age Security pensions and Guaranteed Income Supplements Employment Insurance benefits and child benefits) received from federal provincial territorial or municipal programs during 2010.,,,,,,,,
137,,Income tax paid - Refers to all federal provincial and territorial taxes paid on 2010 income. Federal provincial and territorial taxes paid refer to taxes on income after taking into account exemptions deductions non-refundable tax credits and the Quebec abatement. These taxes are obtained from the income tax files for persons who allowed access to their income tax data and from direct responses on the questionnaire for others.,,,,,,,,
138,,After-tax income - Refers to total income from all sources minus federal provincial and territorial taxes paid for 2010.,,,,,,,,
139,,Net capital gains or losses - Refers to the net gains received or losses incurred during calendar year 2010 from the sale of capital property. This represents the proceeds of disposition minus the adjusted cost base of the property and outlays and expenses incurred to sell the property. Capital property includes depreciable property and any property which if sold would result in a capital gain or loss (for example cottages buildings and securities such as mutual funds). Non-taxable capital gains or losses on the sale of a principal residence are excluded. Net capital gains or losses are not included in the definition of Total income as published in standard products. Net capital gains or losses are not included in the concept of total income but are expressed here as a percentage to obtain a relative measure of size.,,,,,,,,
140,,Earnings or employment income - Refers to total income received by persons 15 years of age and over during calendar year 2010 as wages and salaries net income from a non-farm unincorporated business and/or professional practice and/or net farm self-employment income. Wages and salaries - Refers to gross wages and salaries before deductions for such items as income tax pensions and Employment Insurance. Included in this source are military pay and allowances tips commissions and cash bonuses benefits from wage-loss replacement plans or income-maintenance insurance plans supplementary unemployment benefits from an employer or union as well as all types of casual earnings during calendar year 2010. Other employment income such as taxable benefits research grants and royalties are included. Net non-farm income from unincorporated business or professional practice - Refers to net income (gross receipts minus expenses of operation such as wages rents and depreciation) received during calendar year 2010 from the respondent's non-farm unincorporated business or professional practice. In the case of partnerships only the respondent's share was reported. Also included is net income from persons babysitting in their own homes persons providing room and board to non-relatives self-employed fishers hunters and trappers operators of direct distributorships such as those selling and delivering cosmetics as well as freelance activities of artists writers music teachers hairdressers dressmakers etc. Net farm income - Refers to net income (gross receipts from farm sales minus depreciation and cost of operation) received during calendar year 2010 from the operation of a farm either on the respondent's own account or in partnership. In the case of partnerships only the respondent's share of income was reported. Included with gross receipts are cash advances received in 2010 dividends from cooperatives rebates and farm-support payments to farmers from federal provincial and regional agricultural programs (for example milk subsidies and marketing board payments) and gross insurance proceeds such as payments from the AgriInvest and AgriStability programs. The value of income 'in kind' such as agricultural products produced and consumed on the farm is excluded. Median income of individuals - The median income of a specified group of income recipients is that amount which divides their income size distribution ranked by size of income into two halves i.e. the incomes of the first half of individuals are below the median while those of the second half are above the median. Median income is calculated from the unrounded number of individuals (e.g. males aged 45 to 54 years) with income in that group. Average income of individuals - Average income of individuals refers to the weighted mean total income of individuals aged 15 years and over who reported income for 2010. Average income is calculated from unrounded data by dividing the aggregate income of a specified group of individuals (e.g. males aged 45 to 54 years) by the number of individuals with income in that group. Median and average incomes of individuals will be calculated for those individuals who are at least aged 15 years and who have an income (positive or negative). The above concept and procedures also apply in the calculation of these statistics for earnings. Work activity in 2010 - Refers to the number of weeks in which a person worked for pay or in self-employment in 2010 at all jobs held even if only for a few hours and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week). Age - Refers to the age at last birthday before the reference date that is before May 10 2011.,,,,,,,,
141,,Economic family total income - The total income of an economic family is the sum of the total incomes of all members of that family. Total income - Total income refers to monetary receipts from certain sources before income taxes and deductions during calendar year 2010. It includes employment income from wages salaries tips commissions and net income from self-employment (for both unincorporated farm and non-farm activities); income from government sources such as social assistance child benefits employment insurance old age security pension Canada or Quebec pension plan benefits and disability income; income from employer and personal pension sources such as private pensions and payments from annuities and RRIFs; income from investment sources such as dividends and interest on bonds accounts GICs and mutual funds; and other regular cash income such as child support payments received spousal support payments (alimony) received and scholarships. The monetary receipts included are those that tend to be of a regular and recurring nature. It excludes one-time receipts such as lottery winnings gambling winnings cash inheritances lump sum insurance settlements capital gains and RRSP withdrawals. Capital gains are excluded because they are not by their nature regular and recurring. It is further assumed that they are less likely to be fully spent in the period in which they are received unlike income that is regular and recurring. Also excluded are employer's contributions to registered pension plans Canada and Quebec pension plans and employment insurance. Finally voluntary inter-household transfers imputed rent goods and services produced for barter and goods produced for own consumption are excluded from this total income definition. After-tax income of economic families - The after-tax income of an economic family is the sum of the after-tax incomes of all members of that family. After-tax income of family members or persons not in families refers to total income from all sources minus federal provincial and territorial income taxes paid for 2010. Median income of economic families - The median income of a specified group of families is that amount which divides their income size distribution ranked by size of income into two halves. That is the incomes of the first half of the families are below the median while those of the second half are above the median. Median incomes of families are normally calculated for all units in the specified group whether or not they reported income. Average income of economic families - Average income of economic families refers to the weighted mean total income of families in 2010. Average income is calculated from unrounded data by dividing the aggregate income of a specified group of families (for example husband-wife families with working wives) by the number of families in that group whether or not they reported income. The above concept and procedures also apply in the calculation of these statistics on the after-tax income of economic families. Economic family - Refers to a group of two or more persons who live in the same dwelling and are related to each other by blood marriage common-law adoption or a foster relationship. A couple may be of opposite or same sex.,,,,,,,,
142,,Economic family structure - Refers to the classification of economic families as couple families lone-parent families or other economic families. Couple families - Those in which a member of either a married or common-law couple is the economic family reference person. Lone-parent families - Those in which either a male or female lone parent is the economic family reference person. Other economic families - Those in which the economic family reference person has other relatives but does not have a married spouse or common-law partner or a child in their census family.,,,,,,,,
143,,Economic family structure - Refers to the classification of economic families as couple families lone-parent families or other economic families. Couple families - Those in which a member of either a married or common-law couple is the economic family reference person. Lone-parent families - Those in which either a male or female lone parent is the economic family reference person. Other economic families - Those in which the economic family reference person has other relatives but does not have a married spouse or common-law partner or a child in their census family. Presence of children - Refers to the number of children in private households by age groups. To be included children must live in the same household as the family without a married spouse common-law partner or one or more of their children living in the same household. In a census family they may be children by birth marriage or adoption. In an economic family foster children are also included.,,,,,,,,
144,,Economic family structure - Refers to the classification of economic families as couple families lone-parent families or other economic families. Couple families - Those in which a member of either a married or common-law couple is the economic family reference person. Lone-parent families - Those in which either a male or female lone parent is the economic family reference person. Other economic families - Those in which the economic family reference person has other relatives but does not have a married spouse or common-law partner or a child in their census family.,,,,,,,,
145,,Total income - Total income refers to monetary receipts from certain sources before income taxes and deductions during calendar year 2010. It includes employment income from wages salaries tips commissions and net income from self-employment (for both unincorporated farm and non-farm activities); income from government sources such as social assistance child benefits employment insurance old age security pension Canada or Quebec pension plan benefits and disability income; income from employer and personal pension sources such as private pensions and payments from annuities and RRIFs; income from investment sources such as dividends and interest on bonds accounts GICs and mutual funds; and other regular cash income such as child support payments received spousal support payments (alimony) received and scholarships. The monetary receipts included are those that tend to be of a regular and recurring nature. It excludes one-time receipts such as lottery winnings gambling winnings cash inheritances lump sum insurance settlements capital gains and RRSP withdrawals. Capital gains are excluded because they are not by their nature regular and recurring. It is further assumed that they are less likely to be fully spent in the period in which they are received unlike income that is regular and recurring. Also excluded are employer's contributions to registered pension plans Canada and Quebec pension plans and employment insurance. Finally voluntary inter-household transfers imputed rent goods and services produced for barter and goods produced for own consumption are excluded from this total income definition. After-tax income - Refers to total income from all sources minus federal provincial and territorial income taxes paid for 2010. Median income of persons not in economic families - The median income of a specified group of persons not in economic families (for example males aged 55 to 64) is that amount which divides their income size distribution ranked by size of income into two halves. That is the incomes of the first half of the persons are below the median while those of the second half are above the median. Median incomes of persons not in economic families are normally calculated for all units in the specified group whether or not they reported income. Average income of persons not in economic families - Average income of persons not in economic families refers to the weighted mean total income of the persons not in economic families in 2010. Average income is calculated from unrounded data by dividing the aggregate income of a specified group of persons not in economic families by the number of persons in that group whether or not they reported income. The above concept and procedures also apply in the calculation of these statistics on the after-tax income of persons not in economic families. Age - Refers to the age at last birthday before the reference date that is before May 10 2011. Economic family persons refer to two or more household members who are related to each other by blood marriage common-law adoption or a foster relationship and thereby constitute an economic family. Persons not in economic families refer to household members who do not belong to an economic family including persons living alone.,,,,,,,,
146,,Calculation includes persons not in economic families without income (with an income of zero).,,,,,,,,
147,,Calculation includes persons not in economic families without after-tax income (with an after-tax income of zero).,,,,,,,,
148,,Adjusted after-tax income for economic families and persons not in economic families - For economic family members this refers to economic family after-tax income that has been adjusted by a factor that accounts for family size. The adjustment factor takes into account the lower relative needs of additional family members as compared to a single person living alone. For use with the NHS income data the adjusted after-tax income is computed as the economic family after-tax income divided by the square root of family size. For persons not in economic families the adjusted after-tax income is set at after-tax income. This is equivalent to a factor of 1.0 for a person not in an economic family. Decile of adjusted after-tax family income - The deciles divide the population ranked by size of adjusted after-tax family income into 10 groups of equal size. The population in the bottom decile is the one who falls in the lower 10 percent of the adjusted after-tax family income distribution. The population in the top decile is the one who falls in the highest ten percent of the adjusted after-tax family income distribution. The 10 groups were formed with the full population in private households of Canada whether or not they reported income.,,,,,,,,
149,,Household total income - The total income of a household is the sum of the total incomes of all members of that household. Total income - Total income refers to monetary receipts from certain sources before income taxes and deductions during calendar year 2010. It includes employment income from wages salaries tips commissions and net income from self-employment (for both unincorporated farm and non-farm activities); income from government sources such as social assistance child benefits employment insurance old age security pension Canada or Quebec pension plan benefits and disability income; income from employer and personal pension sources such as private pensions and payments from annuities and RRIFs; income from investment sources such as dividends and interest on bonds accounts GICs and mutual funds; and other regular cash income such as child support payments received spousal support payments (alimony) received and scholarships. The monetary receipts included are those that tend to be of a regular and recurring nature. It excludes one-time receipts such as lottery winnings gambling winnings cash inheritances lump sum insurance settlements capital gains and RRSP withdrawals. Capital gains are excluded because they are not by their nature regular and recurring. It is further assumed that they are less likely to be fully spent in the period in which they are received unlike income that is regular and recurring. Also excluded are employer's contributions to registered pension plans Canada and Quebec pension plans and employment insurance. Finally voluntary inter-household transfers imputed rent goods and services produced for barter and goods produced for own consumption are excluded from this total income definition. Household private - Refers to a person or a group of persons (other than foreign residents) who occupy the same private dwelling and do not have a usual place of residence elsewhere in Canada. Household members who are temporarily absent on May 10 2011 (e.g. temporarily residing elsewhere) are considered as part of their usual household. Every person is a member of one and only one household.,,,,,,,,
150,,After-tax income of households - The after-tax income of a household is the sum of the after-tax incomes of all members of that household. After-tax income - Refers to total income from all sources minus federal provincial and territorial income taxes paid for 2010. Household private - Refers to a person or a group of persons (other than foreign residents) who occupy the same private dwelling and do not have a usual place of residence elsewhere in Canada. Household members who are temporarily absent on May 10 2011 (e.g. temporarily residing elsewhere) are considered as part of their usual household. Every person is a member of one and only one household.,,,,,,,,
151,,Household total income - The total income of a household is the sum of the total incomes of all members of that household. After-tax income of households - The after-tax income of a household is the sum of the after-tax incomes of all members of that household. Total income - Total of income from all sources including employment income income from government programs pension income investment income and any other money income. After-tax income - Refers to total income from all sources minus federal provincial and territorial income taxes paid for 2010. Median income of households - The median income of a specified group of households is that amount which divides their income size distribution ranked by size of income into two halves. That is the incomes of the first half of the households are below the median while those of the second half are above the median. Median incomes of households are normally calculated for all units in the specified group whether or not they reported income. Average income of households - Average income of households refers to the weighted mean total income of households in 2010. Average income is calculated from unrounded data by dividing the aggregate income of a specified group of households (for example two person households) by the number of households in that specific group whether or not they reported income. The above concept and procedures also apply in the calculation of these statistics on the after-tax income of households. Household private - Refers to a person or a group of persons (other than foreign residents) who occupy the same private dwelling and do not have a usual place of residence elsewhere in Canada. Household members who are temporarily absent on May 10 2011 (e.g. temporarily residing elsewhere) are considered as part of their usual household. Every person is a member of one and only one household.,,,,,,,,
152,,Household size - Refers to the number of usual residents in a private household.,,,,,,,,
